Request id,Pickup point,Driver id,Status,Request time,Drop time,Request time-date,Drop time-date
619,Airport,1,Trip Completed,11:51:00,13:00:00,11-07-2016,11-07-2016
867,Airport,1,Trip Completed,17:57:00,18:47:00,11-07-2016,11-07-2016
1807,City,1,Trip Completed,09:17:00,09:58:00,12-07-2016,12-07-2016
2532,Airport,1,Trip Completed,21:08:00,22:03:00,12-07-2016,12-07-2016
3112,City,1,Trip Completed,08:33:16,09:25:47,13-07-2016,13-07-2016
3879,Airport,1,Trip Completed,21:57:28,22:28:59,13-07-2016,13-07-2016
4270,Airport,1,Trip Completed,06:15:32,07:13:15,14-07-2016,14-07-2016
5510,Airport,1,Trip Completed,05:11:52,06:07:52,15-07-2016,15-07-2016
6248,City,1,Trip Completed,17:57:27,18:50:51,15-07-2016,15-07-2016
267,City,2,Trip Completed,06:46:00,07:25:00,11-07-2016,11-07-2016
1467,Airport,2,Trip Completed,05:08:00,06:02:00,12-07-2016,12-07-2016
1983,City,2,Trip Completed,12:30:00,12:57:00,12-07-2016,12-07-2016
2784,Airport,2,Trip Completed,04:49:20,05:23:03,13-07-2016,13-07-2016
3075,City,2,Trip Completed,08:02:53,09:16:19,13-07-2016,13-07-2016
3379,City,2,Trip Completed,14:23:02,15:35:18,13-07-2016,13-07-2016
3482,Airport,2,Trip Completed,17:23:18,18:20:51,13-07-2016,13-07-2016
4652,City,2,Trip Completed,12:01:02,12:36:46,14-07-2016,14-07-2016
5335,Airport,2,Trip Completed,22:24:13,23:18:52,14-07-2016,14-07-2016
535,Airport,3,Trip Completed,10:00:00,10:31:00,11-07-2016,11-07-2016
960,Airport,3,Trip Completed,18:45:00,19:23:00,11-07-2016,11-07-2016
1934,Airport,3,Trip Completed,11:17:00,12:23:00,12-07-2016,12-07-2016
2083,Airport,3,Trip Completed,15:46:00,16:40:00,12-07-2016,12-07-2016
2211,Airport,3,Trip Completed,18:00:00,18:28:00,12-07-2016,12-07-2016
3096,Airport,3,Trip Completed,08:17:29,09:22:37,13-07-2016,13-07-2016
3881,Airport,3,Trip Completed,21:54:18,22:51:23,13-07-2016,13-07-2016
5254,City,3,Trip Completed,21:23:03,22:25:19,14-07-2016,14-07-2016
5434,City,3,Trip Completed,02:41:38,03:24:43,15-07-2016,15-07-2016
5916,City,3,Trip Completed,10:00:43,10:53:06,15-07-2016,15-07-2016
669,City,4,Trip Completed,13:08:00,13:49:00,11-07-2016,11-07-2016
1567,Airport,4,Trip Completed,06:21:00,07:10:00,12-07-2016,12-07-2016
1826,City,4,Trip Completed,09:27:00,10:27:00,12-07-2016,12-07-2016
2102,City,4,Trip Completed,16:09:00,17:01:00,12-07-2016,12-07-2016
2847,Airport,4,Trip Completed,05:34:20,06:09:59,13-07-2016,13-07-2016
3722,Airport,4,Trip Completed,19:57:59,20:32:04,13-07-2016,13-07-2016
4075,City,4,Trip Completed,02:17:35,03:21:38,14-07-2016,14-07-2016
4686,City,4,Trip Completed,13:01:10,13:45:28,14-07-2016,14-07-2016
5771,Airport,4,Trip Completed,08:30:06,09:37:20,15-07-2016,15-07-2016
6106,Airport,4,Trip Completed,15:01:20,15:47:31,15-07-2016,15-07-2016
312,City,5,Trip Completed,07:27:00,08:31:00,11-07-2016,11-07-2016
577,Airport,5,Trip Completed,11:03:00,12:01:00,11-07-2016,11-07-2016
1179,City,5,Trip Completed,20:58:00,21:45:00,11-07-2016,11-07-2016
1756,Airport,5,Trip Completed,08:40:00,09:23:00,12-07-2016,12-07-2016
2052,City,5,Trip Completed,14:48:00,15:50:00,12-07-2016,12-07-2016
2559,City,5,Trip Completed,21:32:00,22:29:00,12-07-2016,12-07-2016
3014,City,5,Trip Completed,07:28:14,08:29:47,13-07-2016,13-07-2016
3317,City,5,Trip Completed,12:14:27,12:46:38,13-07-2016,13-07-2016
4297,City,5,Trip Completed,06:43:01,07:49:38,14-07-2016,14-07-2016
5857,Airport,5,Trip Completed,09:08:50,10:07:07,15-07-2016,15-07-2016
6690,Airport,5,Trip Completed,22:41:41,23:51:00,15-07-2016,15-07-2016
1517,Airport,6,Trip Completed,05:45:00,06:28:00,12-07-2016,12-07-2016
1999,Airport,6,Trip Completed,13:02:00,13:51:00,12-07-2016,12-07-2016
2960,Airport,6,Trip Completed,06:50:33,07:40:35,13-07-2016,13-07-2016
3882,City,6,Trip Completed,21:53:03,22:45:24,13-07-2016,13-07-2016
4081,Airport,6,Trip Completed,02:37:14,03:30:27,14-07-2016,14-07-2016
4740,City,6,Trip Completed,14:50:07,15:38:14,14-07-2016,14-07-2016
5270,City,6,Trip Completed,21:33:55,22:25:43,14-07-2016,14-07-2016
6758,Airport,6,Trip Completed,00:03:39,01:07:39,15-07-2016,15-07-2016
5741,City,6,Trip Completed,07:52:51,08:38:55,15-07-2016,15-07-2016
6087,Airport,6,Trip Completed,14:28:50,15:33:53,15-07-2016,15-07-2016
1039,City,7,Trip Completed,19:31:00,20:41:00,11-07-2016,11-07-2016
1273,Airport,7,Trip Completed,22:07:00,23:12:00,11-07-2016,11-07-2016
2480,City,7,Trip Completed,20:39:00,21:28:00,12-07-2016,12-07-2016
4105,City,7,Trip Completed,03:39:38,04:39:04,14-07-2016,14-07-2016
4509,City,7,Trip Completed,09:11:13,10:17:01,14-07-2016,14-07-2016
4986,Airport,7,Trip Completed,18:52:32,19:50:57,14-07-2016,14-07-2016
5898,City,7,Trip Completed,09:50:28,10:40:39,15-07-2016,15-07-2016
6142,Airport,7,Trip Completed,15:50:15,16:36:56,15-07-2016,15-07-2016
380,Airport,8,Trip Completed,08:18:00,09:18:00,11-07-2016,11-07-2016
1050,Airport,8,Trip Completed,19:39:00,20:30:00,11-07-2016,11-07-2016
1769,City,8,Trip Completed,08:57:00,09:24:00,12-07-2016,12-07-2016
2520,City,8,Trip Completed,21:05:00,22:20:00,12-07-2016,12-07-2016
3265,Airport,8,Trip Completed,10:22:07,11:07:02,13-07-2016,13-07-2016
4648,City,8,Trip Completed,11:55:10,12:59:34,14-07-2016,14-07-2016
449,Airport,9,Trip Completed,09:08:00,09:52:00,11-07-2016,11-07-2016
846,Airport,9,Trip Completed,17:46:00,18:52:00,11-07-2016,11-07-2016
1346,Airport,9,Trip Completed,23:39:00,00:23:00,11-07-2016,12-07-2016
1474,Airport,9,Trip Completed,05:13:00,05:56:00,12-07-2016,12-07-2016
2240,City,9,Trip Completed,18:20:00,18:54:00,12-07-2016,12-07-2016
3072,Airport,9,Trip Completed,08:04:57,08:36:37,13-07-2016,13-07-2016
3459,Airport,9,Trip Completed,17:03:30,17:31:49,13-07-2016,13-07-2016
3774,Airport,9,Trip Completed,20:41:24,21:27:29,13-07-2016,13-07-2016
4023,City,9,Trip Completed,23:58:41,00:58:39,13-07-2016,14-07-2016
4117,City,9,Trip Completed,04:21:42,05:07:07,14-07-2016,14-07-2016
4880,Airport,9,Trip Completed,17:58:46,19:02:42,14-07-2016,14-07-2016
5568,Airport,9,Trip Completed,05:47:49,06:25:49,15-07-2016,15-07-2016
5994,Airport,9,Trip Completed,11:51:16,12:32:12,15-07-2016,15-07-2016
1809,Airport,10,Trip Completed,09:13:00,10:01:00,12-07-2016,12-07-2016
2064,Airport,10,Trip Completed,15:08:00,16:14:00,12-07-2016,12-07-2016
3210,City,10,Trip Completed,09:47:06,10:52:37,13-07-2016,13-07-2016
4350,City,10,Trip Completed,07:24:43,08:22:09,14-07-2016,14-07-2016
4713,City,10,Trip Completed,13:31:24,14:10:56,14-07-2016,14-07-2016
5629,Airport,10,Trip Completed,06:33:00,07:19:53,15-07-2016,15-07-2016
6157,Airport,10,Trip Completed,16:32:51,17:44:44,15-07-2016,15-07-2016
2030,City,11,Trip Completed,14:11:00,15:02:00,12-07-2016,12-07-2016
3226,City,11,Trip Completed,10:00:17,11:02:52,13-07-2016,13-07-2016
3353,City,11,Trip Completed,13:29:44,14:09:00,13-07-2016,13-07-2016
4293,City,11,Trip Completed,06:42:36,07:12:41,14-07-2016,14-07-2016
4936,City,11,Trip Completed,18:22:17,19:14:36,14-07-2016,14-07-2016
5661,Airport,11,Trip Completed,07:08:50,07:59:00,15-07-2016,15-07-2016
5778,City,11,Trip Completed,08:22:03,09:13:04,15-07-2016,15-07-2016
6425,Airport,11,Trip Completed,19:46:40,20:26:51,15-07-2016,15-07-2016
45,Airport,12,Trip Completed,03:17:00,04:09:00,11-07-2016,11-07-2016
264,City,12,Trip Completed,06:51:00,07:40:00,11-07-2016,11-07-2016
1183,City,12,Trip Completed,21:05:00,21:38:00,11-07-2016,11-07-2016
1536,Airport,12,Trip Completed,05:59:00,06:59:00,12-07-2016,12-07-2016
2437,City,12,Trip Completed,20:18:00,21:26:00,12-07-2016,12-07-2016
2641,Airport,12,Trip Completed,22:28:00,23:05:00,12-07-2016,12-07-2016
4077,Airport,12,Trip Completed,02:14:15,03:13:09,14-07-2016,14-07-2016
4610,City,12,Trip Completed,10:35:14,11:39:01,14-07-2016,14-07-2016
5066,Airport,12,Trip Completed,19:31:20,20:14:03,14-07-2016,14-07-2016
5666,Airport,12,Trip Completed,07:04:55,08:12:37,15-07-2016,15-07-2016
5923,City,12,Trip Completed,10:07:49,10:50:50,15-07-2016,15-07-2016
6367,City,12,Trip Completed,19:04:46,19:46:04,15-07-2016,15-07-2016
155,City,13,Trip Completed,05:32:00,06:28:00,11-07-2016,11-07-2016
310,Airport,13,Trip Completed,07:24:00,08:28:00,11-07-2016,11-07-2016
607,City,13,Trip Completed,11:51:00,12:42:00,11-07-2016,11-07-2016
1012,City,13,Trip Completed,19:15:00,19:57:00,11-07-2016,11-07-2016
1696,Airport,13,Trip Completed,08:01:00,08:42:00,12-07-2016,12-07-2016
3076,City,13,Trip Completed,08:09:04,09:12:19,13-07-2016,13-07-2016
